paper_id,title,year,url,arxiv_id,primary_category,categories,pdf_url,topic,reason
P0001,ReAct: Synergizing Reasoning and Acting in Language Models,2022,http://arxiv.org/abs/2210.03629v3,2210.03629v3,cs.CL,"cs.CL,cs.AI,cs.LG",https://arxiv.org/pdf/2210.03629v3,,ranked_by=relevance;score=999;pinned_classic
P0002,Toolformer: Language Models Can Teach Themselves to Use Tools,2023,http://arxiv.org/abs/2302.04761v1,2302.04761v1,cs.CL,cs.CL,https://arxiv.org/pdf/2302.04761v1,,ranked_by=relevance;score=999;pinned_classic
P0003,Reflexion: Language Agents with Verbal Reinforcement Learning,2023,http://arxiv.org/abs/2303.11366v4,2303.11366v4,cs.AI,"cs.AI,cs.CL,cs.LG",https://arxiv.org/pdf/2303.11366v4,,ranked_by=relevance;score=999;pinned_classic
P0004,Tree of Thoughts: Deliberate Problem Solving with Large Language Models,2023,http://arxiv.org/abs/2305.10601v2,2305.10601v2,cs.CL,"cs.CL,cs.AI,cs.LG",https://arxiv.org/pdf/2305.10601v2,,ranked_by=relevance;score=999;pinned_classic
P0005,Voyager: An Open-Ended Embodied Agent with Large Language Models,2023,http://arxiv.org/abs/2305.16291v2,2305.16291v2,cs.AI,"cs.AI,cs.LG",https://arxiv.org/pdf/2305.16291v2,,ranked_by=relevance;score=999;pinned_classic
P0006,"Agentic Large Language Models, a survey",2025,http://arxiv.org/abs/2503.23037v3,2503.23037v3,cs.AI,"cs.AI,cs.CL,cs.LG",https://arxiv.org/pdf/2503.23037v3,,ranked_by=relevance;score=8;prior_survey
P0007,"A Review of Prominent Paradigms for LLM-Based Agents: Tool Use (Including RAG), Planning, and Feedback Learning",2024,http://arxiv.org/abs/2406.05804v6,2406.05804v6,cs.AI,"cs.AI,cs.CL,cs.SE",https://arxiv.org/pdf/2406.05804v6,,ranked_by=relevance;score=8;prior_survey
P0008,Modeling LLM Agent Reviewer Dynamics in Elo-Ranked Review System,2026,http://arxiv.org/abs/2601.08829v1,2601.08829v1,cs.CL,"cs.CL,cs.AI",https://arxiv.org/pdf/2601.08829v1,,ranked_by=relevance;score=7;prior_survey
P0009,A Comprehensive Survey on Benchmarks and Solutions in Software Engineering of LLM-Empowered Agentic System,2025,http://arxiv.org/abs/2510.09721v3,2510.09721v3,cs.SE,"cs.SE,cs.CL",https://arxiv.org/pdf/2510.09721v3,,ranked_by=relevance;score=7;prior_survey
P0010,A Survey on Trustworthy LLM Agents: Threats and Countermeasures,2025,http://arxiv.org/abs/2503.09648v1,2503.09648v1,cs.MA,"cs.MA,cs.CY",https://arxiv.org/pdf/2503.09648v1,,ranked_by=relevance;score=7;prior_survey
P0011,A Survey on the Optimization of Large Language Model-based Agents,2025,http://arxiv.org/abs/2503.12434v1,2503.12434v1,cs.AI,cs.AI,https://arxiv.org/pdf/2503.12434v1,,ranked_by=relevance;score=7;prior_survey
P0012,From Language to Action: A Review of Large Language Models as Autonomous Agents and Tool Users,2025,http://arxiv.org/abs/2508.17281v2,2508.17281v2,cs.CL,cs.CL,https://arxiv.org/pdf/2508.17281v2,,ranked_by=relevance;score=7;prior_survey
P0013,SOP-Bench: Complex Industrial SOPs for Evaluating LLM Agents,2025,http://arxiv.org/abs/2506.08119v1,2506.08119v1,cs.AI,cs.AI,https://arxiv.org/pdf/2506.08119v1,,ranked_by=relevance;score=9
P0014,Beyond Max Tokens: Stealthy Resource Amplification via Tool Calling Chains in LLM Agents,2026,http://arxiv.org/abs/2601.10955v1,2601.10955v1,cs.CR,"cs.CR,cs.AI",https://arxiv.org/pdf/2601.10955v1,,ranked_by=relevance;score=8
P0015,"Don't Just Fine-tune the Agent, Tune the Environment",2025,http://arxiv.org/abs/2510.10197v1,2510.10197v1,cs.AI,cs.AI,https://arxiv.org/pdf/2510.10197v1,,ranked_by=relevance;score=8
P0016,LLM/Agent-as-Data-Analyst: A Survey,2025,http://arxiv.org/abs/2509.23988v3,2509.23988v3,cs.AI,"cs.AI,cs.DB",https://arxiv.org/pdf/2509.23988v3,,ranked_by=relevance;score=7
P0017,"Large Language Model Agent: A Survey on Methodology, Applications and Challenges",2025,http://arxiv.org/abs/2503.21460v1,2503.21460v1,cs.CL,cs.CL,https://arxiv.org/pdf/2503.21460v1,,ranked_by=relevance;score=7
P0018,ReJump: A Tree-Jump Representation for Analyzing and Improving LLM Reasoning,2025,http://arxiv.org/abs/2512.00831v2,2512.00831v2,cs.LG,cs.LG,https://arxiv.org/pdf/2512.00831v2,,ranked_by=relevance;score=7
P0019,Reasoning-Style Poisoning of LLM Agents via Stealthy Style Transfer: Process-Level Attacks and Runtime Monitoring in RSV Space,2025,http://arxiv.org/abs/2512.14448v1,2512.14448v1,cs.CR,"cs.CR,cs.AI",https://arxiv.org/pdf/2512.14448v1,,ranked_by=relevance;score=7
P0020,ReviewAgents: Bridging the Gap Between Human and AI-Generated Paper Reviews,2025,http://arxiv.org/abs/2503.08506v3,2503.08506v3,cs.CL,cs.CL,https://arxiv.org/pdf/2503.08506v3,,ranked_by=relevance;score=7
P0021,"Talk Less, Call Right: Enhancing Role-Play LLM Agents with Automatic Prompt Optimization and Role Prompting",2025,http://arxiv.org/abs/2509.00482v2,2509.00482v2,cs.CL,"cs.CL,cs.AI,cs.HC",https://arxiv.org/pdf/2509.00482v2,,ranked_by=relevance;score=7
P0022,"ToolMind Technical Report: A Large-Scale, Reasoning-Enhanced Tool-Use Dataset",2025,http://arxiv.org/abs/2511.15718v2,2511.15718v2,cs.AI,cs.AI,https://arxiv.org/pdf/2511.15718v2,,ranked_by=relevance;score=7
P0023,EcoAct: Economic Agent Determines When to Register What Action,2024,http://arxiv.org/abs/2411.01643v1,2411.01643v1,cs.AI,"cs.AI,cs.CL",https://arxiv.org/pdf/2411.01643v1,,ranked_by=relevance;score=7
P0024,Large Language Model Agent in Financial Trading: A Survey,2024,http://arxiv.org/abs/2408.06361v1,2408.06361v1,q-fin.TR,"q-fin.TR,cs.CL",https://arxiv.org/pdf/2408.06361v1,,ranked_by=relevance;score=7
P0025,"Personal LLM Agents: Insights and Survey about the Capability, Efficiency and Security",2024,http://arxiv.org/abs/2401.05459v2,2401.05459v2,cs.HC,"cs.HC,cs.AI,cs.SE",https://arxiv.org/pdf/2401.05459v2,,ranked_by=relevance;score=7
P0026,BackdoorAgent: A Unified Framework for Backdoor Attacks on LLM-based Agents,2026,http://arxiv.org/abs/2601.04566v2,2601.04566v2,cs.AI,"cs.AI,cs.CL",https://arxiv.org/pdf/2601.04566v2,,ranked_by=relevance;score=6
P0027,Beyond Perfect APIs: A Comprehensive Evaluation of LLM Agents Under Real-World API Complexity,2026,http://arxiv.org/abs/2601.00268v1,2601.00268v1,cs.CL,"cs.CL,cs.AI",https://arxiv.org/pdf/2601.00268v1,,ranked_by=relevance;score=6
P0028,ReliabilityBench: Evaluating LLM Agent Reliability Under Production-Like Stress Conditions,2026,http://arxiv.org/abs/2601.06112v1,2601.06112v1,cs.AI,cs.AI,https://arxiv.org/pdf/2601.06112v1,,ranked_by=relevance;score=6
P0029,"A Comprehensive Survey in LLM(-Agent) Full Stack Safety: Data, Training and Deployment",2025,http://arxiv.org/abs/2504.15585v4,2504.15585v4,cs.CR,"cs.CR,cs.AI,cs.CL,cs.LG",https://arxiv.org/pdf/2504.15585v4,,ranked_by=relevance;score=6
